Descr.breve:;;11;
Descr.lunga:;;Piazza Dante - Via Brennero - Gardolo - Spini;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;Feriale da Lunedì a Venerdì;;;Scolastica da Lunedì a Sabato;
Linea:;;;Linea G;;;;;Linea G;;Linea G;;Linea G;Linea G;;Linea G;;Linea G;;;;Linea G;;Linea G;;;Linea G;;Linea G;Linea G;;Linea G;Linea G;;Linea G;Linea G;;Linea G;;Linea G;;Linea 17/;Linea 17/;Linea 17/;Linea 17;
Servizio:;;
gtfs trip_id;;0004006282023091120240611;;0004006292023091120240611;0003995302023091120240611;0004007372023091120240611;0004006422023091120240611;;0004006302023091120240611;;0004006312023091120240611;;;0004006322023091120240611;;0004006332023091120240611;;0004007702023091120240611;0003993422023091120240611;0004006412023091120240611;;0004006342023091120240611;;0004007942023091120240611;0004006352023091120240611;;0004006362023091120240611;;;0004006372023091120240611;;;0004006382023091120240611;;;0004006392023091120240611;;0004006402023091120240611;;0004014182023091120240611;;;;;
smartplanner route_id;;425_12_0;;425_12_0;425_12_0;425_12_0;425_12_0;;425_12_0;;425_12_0;;;425_12_0;;425_12_0;;425_12_0;425_12_0;425_12_0;;425_12_0;;425_12_0;425_12_0;;425_12_0;;;425_12_0;;;425_12_0;;;425_12_0;;425_12_0;;425_12_0;;;;;
service_id;;0000000092023091120240611;;0000000022023091120240611;0000000032023091120240611;0000000022023091120240611;0000000022023091120240611;;0000000022023091120240611;;0000000022023091120240611;;;0000000022023091120240611;;0000000022023091120240611;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;;0000000022023091120240611;;0000000022023091120240611;0000000022023091120240611;;0000000022023091120240611;;;0000000022023091120240611;;;0000000022023091120240611;;;0000000022023091120240611;;0000000022023091120240611;;0000000022023091120240611;;;;;
stops;stop_id;0004006282023091120240611;;0004006292023091120240611;0003995302023091120240611;0004007372023091120240611;0004006422023091120240611;;0004006302023091120240611;;0004006312023091120240611;;;0004006322023091120240611;;0004006332023091120240611;;0004007702023091120240611;0003993422023091120240611;0004006412023091120240611;;0004006342023091120240611;;0004007942023091120240611;0004006352023091120240611;;0004006362023091120240611;;;0004006372023091120240611;;;0004006382023091120240611;;;0004006392023091120240611;;0004006402023091120240611;;0004014182023091120240611;$italic;$italic;$italic;;
Piazza Dante "Palazzo Pat";163;05:29;;06:32;;07:26;07:50;;08:10;;09:10;;;10:10;;11:10;;;12:10;;;13:10;;;14:10;;15:10;;;16:10;;;17:10;;;18:10;;19:10;;20:10;;;;;
Gazzoletti Piazza Dante;2680;05:29;;06:32;;07:26;07:50;;08:10;;09:10;;;10:10;;11:10;;;12:10;;;13:10;;;14:10;;15:10;;;16:10;;;17:10;;;18:10;;19:10;;20:10;;;;;
Largo Sauro;76;05:31;;06:34;;07:28;07:52;;08:12;;09:12;;;10:12;;11:12;;;12:12;;;13:12;;;14:12;;15:12;;;16:12;;;17:12;;;18:12;;19:12;;20:12;;;;;
Brennero Malvasia;294;05:32;;06:35;;07:29;07:53;;08:13;;09:13;;;10:13;;11:13;;;12:13;;;13:13;;;14:13;;15:13;;;16:13;;;17:13;;;18:13;;19:13;;20:13;;;;;
Brennero "Ex Scalo Filzi";297;05:33;;06:36;;07:30;07:54;;08:14;;09:14;;;10:14;;11:14;;;12:14;;;13:14;;;14:14;;15:14;;;16:14;;;17:14;;;18:14;;19:14;;20:14;;;;;
Brennero Marconi;293;05:35;;06:38;;07:32;07:56;;08:16;;09:16;;;10:16;;11:16;;;12:16;;;13:16;;;14:16;;15:16;;;16:16;;;17:16;;;18:16;;19:16;;20:16;;;;;
Brennero "Tridente";300;05:37;;06:40;07:04;07:34;07:58;;08:18;;09:18;;;10:18;;11:18;;;12:18;;;13:18;;;14:18;;15:18;;;16:18;;;17:18;;;18:18;;19:18;;20:18;;;;;
Brennero "Bren Center";292;05:38;;06:41;07:05;07:35;07:59;;08:19;;09:19;;;10:19;;11:19;;;12:19;;;13:19;;;14:19;;15:19;;;16:19;;;17:19;;;18:19;;19:19;;20:19;;;;;
Ss 12 Canova;290;05:39;;06:42;07:06;07:36;08:00;;08:20;;09:20;;;10:20;;11:20;;;12:20;;;13:20;;;14:20;;15:20;;;16:20;;;17:20;;;18:20;;19:20;;20:20;;;;;
