Descr.breve:;;CM;
Descr.lunga:;;Povo - Borino - Celva - Passo Cimirlo;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;;;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Non scol. da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Non scol. da Lunedì a Venerdì;Feriale da Lunedì a Venerdì;
Linea:;;
Servizio:;;
gtfs trip_id;;0003992572023091120240611;0003992582023091120240611;0003992602023091120240611;0004017362023091120240611;0003992612023091120240611;0004017372023091120240611;0003997692023091120240611;0003997672023091120240611;0004020192023091120240611;0003992632023091120240611;0004020202023091120240611;0003992642023091120240611;
smartplanner route_id;;CMA;CMA;CMA;CMA;CMA;CMA;CMA;CMA;CMA;CMA;CMA;CMA;
service_id;;0000000022023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000022023091120240611;0000000022023091120240611;0000000092023091120240611;0000000102023091120240611;0000000532023091120240611;0000000102023091120240611;0000000532023091120240611;0000000092023091120240611;
stops;stop_id;0003992572023091120240611;0003992582023091120240611;0003992602023091120240611;0004017362023091120240611;0003992612023091120240611;0004017372023091120240611;0003997692023091120240611;0003997672023091120240611;0004020192023091120240611;0003992632023091120240611;0004020202023091120240611;0003992642023091120240611;
Povo Piazza Manci;186;07:25;08:10;11:08;11:18;12:50;13:50;16:32;17:10;17:20;18:10;18:20;18:48;
Povo S.Agata;185;07:25;08:10;11:08;11:18;12:50;13:50;16:32;17:10;17:20;18:10;18:20;18:48;
Povo "Polo Sociale";190;07:26;08:11;11:09;11:19;12:51;13:51;16:33;17:11;17:21;18:11;18:21;18:49;
Povo "Casa di Riposo";181;07:27;08:12;11:10;11:20;12:52;13:52;16:34;17:12;17:22;18:12;18:22;18:50;
Spré Pinara;179;07:27;08:12;11:10;11:20;12:52;13:52;16:34;17:12;17:22;18:12;18:22;18:50;
Spré S.Lucia;243;07:28;08:13;11:11;11:21;12:53;13:53;16:35;17:13;17:23;18:13;18:23;18:51;
Borino;2530;07:29;08:14;11:12;11:22;12:54;13:54;16:36;17:14;17:24;18:14;18:24;18:52;
Borino Civ.69;2532;07:30;08:15;11:13;11:23;12:55;13:55;16:37;17:15;17:25;18:15;18:25;18:53;
Maso di Brenz;2533;07:31;08:16;11:14;11:24;12:56;13:56;16:38;17:16;17:26;18:16;18:26;18:54;
Via Eremo;2534;07:32;08:17;11:15;11:25;12:57;13:57;16:39;17:17;17:27;18:17;18:27;18:55;
Celva;2526;07:35;08:20;11:18;11:28;13:00;14:00;16:42;17:20;17:30;18:20;18:30;18:58;
Eremo;2535;07:37;08:22;11:20;11:30;13:02;14:02;16:44;17:22;17:32;18:22;18:32;19:00;
Cimirlo;2524;07:40;08:25;11:23;11:33;13:05;14:05;16:47;17:25;17:35;18:25;18:35;19:03;
;;;;;;;;;;;;;
